name,HOMO_eV,LUMO_eV,gap_eV,eta_eV,omega_eV,bind_atom,E_ads_eV
dopamine,-6.2998,-1.9345,4.3653,2.1827,3.8831,N,-0.351
thioglycolic_acid,-7.0797,0.0374,7.1171,3.5585,1.7421,S,-0.795
cysteine,-7.0197,-0.1273,6.8924,3.4462,1.8528,S,-0.208
gallic_acid,-6.5124,-1.3172,5.1952,2.5976,2.9500,O,-1.951
citric_acid,-8.0660,-0.9723,7.0937,3.5469,2.8790,O,-0.886
ethylenediamine,-6.9840,1.4202,8.4042,4.2021,0.9208,N,-0.215
2-mercaptopropane,-6.6785,0.5603,7.2387,3.6194,1.2928,S,0.2853
mercaptopyruvic_acid,-7.2324,-2.1605,5.0720,2.5360,4.3487,S,-1.6511
penicillamine,-6.9666,-0.2374,6.7292,3.3646,1.9281,S,-0.2443
23-dimercaptosuccinic,-7.0622,-0.6751,6.3871,3.1936,2.3432,S,-1.6077
ethanolamine,-7.0180,1.2241,8.2421,4.1211,1.0182,N,0.0181
benzylamine,-6.9424,-0.3081,6.6343,3.3172,1.9810,N,0.3368
asparagine,-7.2158,0.2277,7.4435,3.7218,1.6401,N,-0.5135
citrulline,-7.0378,0.1873,7.2251,3.6125,1.6238,N,0.1291
glycolic_acid,-8.2353,0.0536,8.2889,4.1444,2.0190,O,0.0027
picolinic_acid,-7.9581,-1.7942,6.1639,3.0819,3.8574,O,-0.6465
protocatechuic_acid,-6.5368,-1.2579,5.2789,2.6395,2.8774,O,-0.0909
mucic_acid,-7.9162,-0.0927,7.8235,3.9118,2.0497,O,0.0913
